sample,filtering,PON,bootstrap,calls
T107,filtered,35, 3, 35164
T107,filtered,35, 4, 34994
T107,filtered,35, 5, 34611
T107,filtered,40, 1, 35175
T107,filtered,40, 2, 35286
T107,filtered,40, 3, 34659
T107,filtered,40, 4, 35167
T107,filtered,40, 5, 34135
T107,filtered,45, 1, 34876
T107,filtered,45, 2, 34877
T107,filtered,45, 3, 34611
T107,filtered,45, 4, 34648
T107,filtered,45, 5, 34922
T107,filtered,50, 1, 34081
T107,filtered,50, 2, 34301
T107,filtered,50, 3, 34115
T107,filtered,50, 4, 34438
T107,filtered,50, 5, 34336
T107,filtered,55, 1, 34410
T107,filtered,55, 2, 34631
T107,filtered,55, 3, 34521
T107,filtered,55, 4, 34353
T107,filtered,55, 5, 34471
T107,filtered,60, 1, 34440
T107,filtered,60, 2, 34550
T107,filtered,60, 3, 34353
T107,filtered,60, 4, 34400
T107,filtered,60, 5, 34507
T107,filtered,65, 1, 34406
T107,filtered,65, 2, 34305
T107,filtered,65, 3, 34259
T107,filtered,65, 4, 34327
T107,filtered,65, 5, 34327
T109,All,05, 1, 97762
T109,All,05, 2, 97991
T109,All,05, 3, 98271
T109,All,05, 4, 98126
T109,All,05, 5, 97856
T109,All,10, 1, 88125
T109,All,10, 2, 86476
T109,All,10, 3, 85990
T109,All,10, 4, 86678
T109,All,10, 5, 87658
T109,All,15, 1, 80744
T109,All,15, 2, 81100
T109,All,15, 3, 82509
T109,All,15, 4, 81258
T109,All,15, 5, 81410
T109,All,20, 1, 77951
T109,All,20, 2, 77455
T109,All,20, 3, 78085
T109,All,20, 4, 78085
T109,All,20, 5, 77807
T109,All,25, 1, 74257
T109,All,25, 2, 74526
T109,All,25, 3, 74676
T109,All,25, 4, 74205
T109,All,25, 5, 76534
T109,All,30, 1, 72664
T109,All,30, 2, 72137
T109,All,30, 3, 71669
T109,All,30, 4, 72621
T109,All,30, 5, 70888
T109,All,35, 1, 68958
T109,All,35, 2, 69680
T109,All,35, 3, 69699
T109,All,35, 4, 69237
T109,All,35, 5, 69776
T109,All,40, 1, 67238
T109,All,40, 2, 67265
T109,All,40, 3, 67902
T109,All,40, 4, 66996
T109,All,40, 5, 68163
T109,All,45, 1, 65954
T109,All,45, 2, 66028
T109,All,45, 3, 66262
T109,All,45, 4, 66180
T109,All,45, 5, 65893
T109,All,50, 1, 64876
T109,All,50, 2, 65374
T109,All,50, 3, 65211
T109,All,50, 4, 65514
T109,All,50, 5, 65576
T109,All,55, 1, 63879
T109,All,55, 2, 63807
T109,All,55, 3, 63931
T109,All,55, 4, 64587
T109,All,55, 5, 63751
T109,All,60, 1, 63155
T109,All,60, 2, 63030
T109,All,60, 3, 62866
T109,All,60, 4, 62999
T109,All,60, 5, 63197
T109,All,65, 1, 62702
T109,All,65, 2, 62875
T109,All,65, 3, 62705
T109,All,65, 4, 62387
T109,All,65, 5, 62318
T109,filtered,05, 1, 25588
T109,filtered,05, 2, 26591
T109,filtered,05, 3, 26662
T109,filtered,05, 4, 26824
T109,filtered,05, 5, 26585
T109,filtered,10, 1, 33560
T109,filtered,10, 2, 34602
T109,filtered,10, 3, 35412
T109,filtered,10, 4, 34369
T109,filtered,10, 5, 33488
T109,filtered,15, 1, 36815
T109,filtered,15, 2, 37160
T109,filtered,15, 3, 36873
T109,filtered,15, 4, 36939
T109,filtered,15, 5, 36796
T109,filtered,20, 1, 37251
T109,filtered,20, 2, 37081
T109,filtered,20, 3, 38007
T109,filtered,20, 4, 38007
T109,filtered,20, 5, 37217
T109,filtered,25, 1, 38113
T109,filtered,25, 2, 37741
T109,filtered,25, 3, 38098
T109,filtered,25, 4, 38326
T109,filtered,25, 5, 37434
T109,filtered,30, 1, 38779
T109,filtered,30, 2, 38197
T109,filtered,30, 3, 37982
T109,filtered,30, 4, 38445
T109,filtered,30, 5, 39059
T109,filtered,35, 1, 38713
T109,filtered,35, 2, 38785
T109,filtered,35, 3, 39579
T109,filtered,35, 4, 38777
T109,filtered,35, 5, 38441
T109,filtered,40, 1, 38750
T109,filtered,40, 2, 38887
T109,filtered,40, 3, 38961
T109,filtered,40, 4, 39006
T109,filtered,40, 5, 38501
T109,filtered,45, 1, 38656
T109,filtered,45, 2, 38955
T109,filtered,45, 3, 38299
T109,filtered,45, 4, 38436
T109,filtered,45, 5, 38679
T109,filtered,50, 1, 38093
T109,filtered,50, 2, 38203
T109,filtered,50, 3, 38222
T109,filtered,50, 4, 38233
T109,filtered,50, 5, 38008
T109,filtered,55, 1, 38342
T109,filtered,55, 2, 38280
T109,filtered,55, 3, 38501
T109,filtered,55, 4, 38528
T109,filtered,55, 5, 38249
T109,filtered,60, 1, 38306
T109,filtered,60, 2, 38442
T109,filtered,60, 3, 38222
T109,filtered,60, 4, 38353
T109,filtered,60, 5, 38329
T109,filtered,65, 1, 38171
T109,filtered,65, 2, 38129
T109,filtered,65, 3, 38311
T109,filtered,65, 4, 38110
T109,filtered,65, 5, 37935
T110,All,05, 1, 95369
T110,All,05, 2, 94489
T110,All,05, 3, 95331
T110,All,05, 4, 94194
T110,All,05, 5, 94399
T110,All,10, 1, 84958
T110,All,10, 2, 83781
T110,All,10, 3, 82566
T110,All,10, 4, 84990
T110,All,10, 5, 83246
T110,All,15, 1, 79751
T110,All,15, 2, 78485
T110,All,15, 3, 80041
T110,All,15, 4, 77790
T110,All,15, 5, 78623
T110,All,20, 1, 75886
T110,All,20, 2, 76661
T110,All,20, 3, 75145
T110,All,20, 4, 75565
T110,All,20, 5, 74332
T110,All,25, 1, 72914
T110,All,25, 2, 72168
T110,All,25, 3, 71727
T110,All,25, 4, 71227
T110,All,25, 5, 73994
T110,All,30, 1, 69711
T110,All,30, 2, 70470
T110,All,30, 3, 69604
T110,All,30, 4, 69544
T110,All,30, 5, 68470
T110,All,35, 1, 68213
T110,All,35, 2, 67961
T110,All,35, 3, 66681
T110,All,35, 4, 67993
T110,All,35, 5, 67315
T110,All,40, 1, 65339
T110,All,40, 2, 65418
T110,All,40, 3, 66162
T110,All,40, 4, 65336
T110,All,40, 5, 65924
T110,All,45, 1, 64170
T110,All,45, 2, 64215
T110,All,45, 3, 64625
T110,All,45, 4, 64065
T110,All,45, 5, 64242
T110,All,50, 1, 63203
T110,All,50, 2, 63448
T110,All,50, 3, 63623
T110,All,50, 4, 63666
T110,All,50, 5, 63774
T110,All,55, 1, 62206
T110,All,55, 2, 62272
T110,All,55, 3, 62257
T110,All,55, 4, 62215
T110,All,55, 5, 62166
T110,All,60, 1, 62222
T110,All,60, 2, 61160
T110,All,60, 3, 61247
T110,All,60, 4, 61243
T110,All,60, 5, 61445
T110,All,65, 1, 60984
T110,All,65, 2, 61954
T110,All,65, 3, 60592
T110,All,65, 4, 60832
T110,All,65, 5, 60883
T110,filtered,05, 1, 23607
T110,filtered,05, 2, 24892
T110,filtered,05, 3, 24051
T110,filtered,05, 4, 25968
T110,filtered,05, 5, 24938
T110,filtered,10, 1, 31328
T110,filtered,10, 2, 33330
T110,filtered,10, 3, 33348
T110,filtered,10, 4, 32069
T110,filtered,10, 5, 32288
T110,filtered,15, 1, 35410
T110,filtered,15, 2, 35426
T110,filtered,15, 3, 35115
T110,filtered,15, 4, 35534
T110,filtered,15, 5, 34795
T110,filtered,20, 1, 35845
T110,filtered,20, 2, 36186
T110,filtered,20, 3, 36517
T110,filtered,20, 4, 36797
T110,filtered,20, 5, 36037
T110,filtered,25, 1, 36869
T110,filtered,25, 2, 36839
T110,filtered,25, 3, 36806
T110,filtered,25, 4, 37072
T110,filtered,25, 5, 36234
T110,filtered,30, 1, 37526
T110,filtered,30, 2, 37220
T110,filtered,30, 3, 37162
T110,filtered,30, 4, 37243
T110,filtered,30, 5, 37904
T110,filtered,35, 1, 38139
T110,filtered,35, 2, 37593
T110,filtered,35, 3, 38189
T110,filtered,35, 4, 38038
T110,filtered,35, 5, 37518
T110,filtered,40, 1, 37863
T110,filtered,40, 2, 38063
T110,filtered,40, 3, 37997
T110,filtered,40, 4, 38234
T110,filtered,40, 5, 37500
T110,filtered,45, 1, 37749
T110,filtered,45, 2, 38122
T110,filtered,45, 3, 37666
T110,filtered,45, 4, 37416
T110,filtered,45, 5, 38074
T110,filtered,50, 1, 37475
T110,filtered,50, 2, 37433
T110,filtered,50, 3, 37726
T110,filtered,50, 4, 37377
T110,filtered,50, 5, 37278
T110,filtered,55, 1, 37590
T110,filtered,55, 2, 37683
T110,filtered,55, 3, 37763
T110,filtered,55, 4, 37623
T110,filtered,55, 5, 37570
T110,filtered,60, 1, 37831
T110,filtered,60, 2, 37571
T110,filtered,60, 3, 37523
T110,filtered,60, 4, 37600
T110,filtered,60, 5, 37570
T110,filtered,65, 1, 37399
T110,filtered,65, 2, 37715
T110,filtered,65, 3, 37467
T110,filtered,65, 4, 37513
T110,filtered,65, 5, 37431
T119,All,05, 1, 93080
T119,All,05, 2, 93111
T119,All,05, 3, 93698
T119,All,05, 4, 93774
T119,All,05, 5, 93774
T119,All,10, 1, 82201
T119,All,10, 2, 82134
T119,All,10, 3, 80404
T119,All,10, 4, 82305
T119,All,10, 5, 82036
T119,All,15, 1, 76122
T119,All,15, 2, 75703
T119,All,15, 3, 76391
T119,All,15, 4, 76137
T119,All,15, 5, 76272
T119,All,20, 1, 73191
T119,All,20, 2, 72377
T119,All,20, 3, 73115
T119,All,20, 4, 71996
T119,All,20, 5, 72781
T119,All,25, 1, 69909
T119,All,25, 2, 69190
T119,All,25, 3, 69659
T119,All,25, 4, 69060
T119,All,25, 5, 70332
T119,All,30, 1, 67464
T119,All,30, 2, 66661
T119,All,30, 3, 67023
T119,All,30, 4, 67440
T119,All,30, 5, 65759
T119,All,35, 1, 64568
T119,All,35, 2, 64235
T119,All,35, 3, 64005
T119,All,35, 4, 65039
T119,All,35, 5, 64878
T119,All,40, 1, 63041
T119,All,40, 2, 62457
T119,All,40, 3, 62914
T119,All,40, 4, 62849
T119,All,40, 5, 63239
T119,All,45, 1, 61220
T119,All,45, 2, 61110
T119,All,45, 3, 61081
T119,All,45, 4, 61555
T119,All,45, 5, 61082
T119,All,50, 1, 60026
T119,All,50, 2, 60833
T119,All,50, 3, 60555
T119,All,50, 4, 60413
T119,All,50, 5, 60647
T119,All,55, 1, 59015
T119,All,55, 2, 59364
T119,All,55, 3, 59168
T119,All,55, 4, 59260
T119,All,55, 5, 59245
