sample,filtering,PON,bootstrap,calls
T110,All,15,2,2362
T110,All,15,3,2362
T110,All,15,4,2362
T110,All,15,5,2362
T110,All,20,1,2362
T110,All,20,2,2362
T110,All,20,3,2362
T110,All,20,4,2362
T110,All,20,5,2362
T110,All,25,1,2362
T110,All,25,2,2362
T110,All,25,3,2362
T110,All,25,4,2362
T110,All,25,5,2362
T110,All,30,1,2362
T110,All,30,2,2362
T110,All,30,3,2362
T110,All,30,4,2362
T110,All,30,5,2362
T110,All,35,1,2362
T110,All,35,2,2362
T110,All,35,3,2362
T110,All,35,4,2362
T110,All,35,5,2362
T110,All,40,1,2362
T110,All,40,2,2362
T110,All,40,3,2362
T110,All,40,4,2362
T110,All,40,5,2362
T110,All,45,1,2362
T110,All,45,2,2362
T110,All,45,3,2362
T110,All,45,4,2362
T110,All,45,5,2362
T110,All,50,1,2362
T110,All,50,2,2362
T110,All,50,3,2362
T110,All,50,4,2362
T110,All,50,5,2362
T110,All,55,1,2362
T110,All,55,2,2362
T110,All,55,3,2362
T110,All,55,4,2362
T110,All,55,5,2362
T110,All,60,1,2362
T110,All,60,2,2362
T110,All,60,3,2362
T110,All,60,4,2362
T110,All,60,5,2362
T110,All,65,1,2362
T110,All,65,2,2362
T110,All,65,3,2362
T110,All,65,4,2362
T110,All,65,5,2362
T110,filtered,5,1,107
T110,filtered,5,2,133
T110,filtered,5,3,139
T110,filtered,5,4,124
T110,filtered,5,5,117
T110,filtered,10,1,169
T110,filtered,10,2,221
T110,filtered,10,3,206
T110,filtered,10,4,219
T110,filtered,10,5,169
T110,filtered,15,1,277
T110,filtered,15,2,262
T110,filtered,15,3,290
T110,filtered,15,4,269
T110,filtered,15,5,239
T110,filtered,20,1,275
T110,filtered,20,2,293
T110,filtered,20,3,300
T110,filtered,20,4,337
T110,filtered,20,5,289
T110,filtered,25,1,326
T110,filtered,25,2,326
T110,filtered,25,3,310
T110,filtered,25,4,331
T110,filtered,25,5,295
T110,filtered,30,1,354
T110,filtered,30,2,357
T110,filtered,30,3,336
T110,filtered,30,4,353
T110,filtered,30,5,383
T110,filtered,35,1,394
T110,filtered,35,2,384
T110,filtered,35,3,420
T110,filtered,35,4,401
T110,filtered,35,5,372
T110,filtered,40,1,413
T110,filtered,40,2,417
T110,filtered,40,3,421
T110,filtered,40,4,435
T110,filtered,40,5,391
T110,filtered,45,1,433
T110,filtered,45,2,442
T110,filtered,45,3,412
T110,filtered,45,4,417
T110,filtered,45,5,436
T110,filtered,50,1,427
T110,filtered,50,2,414
T110,filtered,50,3,437
T110,filtered,50,4,421
T110,filtered,50,5,423
T110,filtered,55,1,455
T110,filtered,55,2,467
T110,filtered,55,3,458
T110,filtered,55,4,450
T110,filtered,55,5,448
T110,filtered,60,1,474
T110,filtered,60,2,478
T110,filtered,60,3,466
T110,filtered,60,4,471
T110,filtered,60,5,466
T110,filtered,65,1,467
T110,filtered,65,2,469
T110,filtered,65,3,470
T110,filtered,65,4,476
T110,filtered,65,5,476
T119,All,5,1,1562
T119,All,5,2,1562
T119,All,5,3,1562
T119,All,5,4,1562
T119,All,5,5,1562
T119,All,10,1,1562
T119,All,10,2,1562
T119,All,10,3,1562
T119,All,10,4,1562
T119,All,10,5,1562
T119,All,15,1,1562
T119,All,15,2,1562
T119,All,15,3,1562
T119,All,15,4,1562
T119,All,15,5,1562
T119,All,20,1,1562
T119,All,20,2,1562
T119,All,20,3,1562
T119,All,20,4,1562
T119,All,20,5,1562
T119,All,25,1,1562
T119,All,25,2,1562
T119,All,25,3,1562
T119,All,25,4,1562
T119,All,25,5,1562
T119,All,30,1,1562
T119,All,30,2,1562
T119,All,30,3,1562
T119,All,30,4,1562
T119,All,30,5,1562
T119,All,35,1,1562
T119,All,35,2,1562
T119,All,35,3,1562
T119,All,35,4,1562
T119,All,35,5,1562
T119,All,40,1,1562
T119,All,40,2,1562
T119,All,40,3,1562
T119,All,40,4,1562
T119,All,40,5,1562
T119,All,45,1,1562
T119,All,45,2,1562
T119,All,45,3,1562
T119,All,45,4,1562
T119,All,45,5,1562
T119,All,50,1,1562
T119,All,50,2,1562
T119,All,50,3,1562
T119,All,50,4,1562
T119,All,50,5,1562
T119,All,55,1,1562
T119,All,55,2,1562
T119,All,55,3,1562
T119,All,55,4,1562
T119,All,55,5,1562
T119,All,60,1,1562
T119,All,60,2,1562
T119,All,60,3,1562
T119,All,60,4,1562
T119,All,60,5,1562
T119,All,65,1,1562
T119,All,65,2,1562
T119,All,65,3,1562
T119,All,65,4,1562
T119,All,65,5,1562
T119,filtered,5,1,109
T119,filtered,5,2,97
T119,filtered,5,3,135
T119,filtered,5,4,128
T119,filtered,5,5,106
T119,filtered,10,1,173
T119,filtered,10,2,196
T119,filtered,10,3,178
T119,filtered,10,4,174
T119,filtered,10,5,170
T119,filtered,15,1,211
T119,filtered,15,2,223
T119,filtered,15,3,226
T119,filtered,15,4,216
T119,filtered,15,5,211
T119,filtered,20,1,230
T119,filtered,20,2,231
T119,filtered,20,3,236
T119,filtered,20,4,262
T119,filtered,20,5,246
T119,filtered,25,1,259
T119,filtered,25,2,257
T119,filtered,25,3,255
T119,filtered,25,4,250
T119,filtered,25,5,247
T119,filtered,30,1,290
T119,filtered,30,2,263
T119,filtered,30,3,276
T119,filtered,30,4,277
T119,filtered,30,5,282
T119,filtered,35,1,296
T119,filtered,35,2,299
T119,filtered,35,3,303
T119,filtered,35,4,297
T119,filtered,35,5,289
T119,filtered,40,1,299
T119,filtered,40,2,307
T119,filtered,40,3,311
T119,filtered,40,4,307
T119,filtered,40,5,298
T119,filtered,45,1,310
T119,filtered,45,2,313
T119,filtered,45,3,303
T119,filtered,45,4,316
T119,filtered,45,5,314
T119,filtered,50,1,319
T119,filtered,50,2,318
T119,filtered,50,3,327
T119,filtered,50,4,313
T119,filtered,50,5,303
T119,filtered,55,1,319
T119,filtered,55,2,328
T119,filtered,55,3,323
T119,filtered,55,4,323
T119,filtered,55,5,327
T119,filtered,60,1,331
T119,filtered,60,2,334
T119,filtered,60,3,336
T119,filtered,60,4,333
T119,filtered,60,5,332
T119,filtered,65,1,332
T119,filtered,65,2,332
T119,filtered,65,3,340
T119,filtered,65,4,338
T119,filtered,65,5,335
